Gene ID	Log2Ratio	p-value	Max RPKM
NM_001099	-4.54	1.35E-03	471.10
NM_033068	-3.17	4.49E-02	27.03
NM_001097	-1.17	2.16E-01	45.86
NM_032489	-3.52	4.18E-02	224.56
NM_052957	0.42	3.40E-01	805.99
NM_020113	0.47	6.54E-01	4.94
NM_020111	0.47	6.11E-01	6.82
NM_020109	0.54	5.76E-01	7.41
NM_020108	0.65	4.93E-01	7.56
NM_020115	1.15	3.39E-01	4.81
NM_020069	1.24	3.51E-01	16.75
NM_020110	1.86	1.35E-01	6.42
NM_020107	2.03	2.02E-01	8.92
NM_001612	2.22	2.20E-01	35.25
NM_015162	0.03	9.67E-01	71.73
NM_030924	-4.50	3.47E-01	22.70
NM_025149	-4.03	6.56E-03	11531.78
NR_023316	-1.83	2.35E-01	383.78
NM_001127214	-1.27	1.58E-01	1259.97
NM_174917	-0.93	3.08E-02	13972.26
NM_001995	0.40	5.61E-01	17203.14
NM_004457	-0.27	5.52E-01	79458.17
NM_203372	1.52	9.36E-02	54027.05
NM_004458	3.90	2.30E-03	12821.51
NM_022977	5.04	5.49E-05	35678.98
NM_203379	2.38	1.83E-01	220.92
NM_203380	5.90	3.31E-01	2731.86
NM_016234	7.53	2.84E-01	23611.54
NM_015256	-4.97	5.18E-03	44.18
NM_001009185	-4.86	4.95E-03	41.83
NM_052956	-8.74	2.63E-02	428.25
NM_001010845	-1.98	3.47E-01	3.96
NM_001105069	-0.52	3.47E-01	1.43
NM_182617	0.57	3.47E-01	0.67
NM_202000	-2.94	1.68E-03	959.44
NM_005622	-2.52	4.65E-02	782.95
NM_001080454	2.75	2.03E-01	42.32
NM_017888	-0.42	7.53E-01	7.29
NM_032501	-3.38	1.07E-02	13674.76
NM_018677	-0.06	9.26E-01	15903.83
NM_001076552	0.22	2.44E-01	422.28
NR_028046	0.53	4.48E-01	2534.13
NM_024560	-3.04	1.93E-01	10242.91
NM_001100	1.06	4.89E-02	11361.40
NM_001141945	2.00	1.39E-01	5070.41
NM_001613	8.82	1.36E-01	111602.52
NM_001101	1.18	4.64E-02	3742311.58
NM_001017992	2.00	1.31E-01	249.30
NM_005159	1.34	2.24E-02	2415.32
NM_001614	0.91	4.18E-02	1848275.64
NR_024438	0.85	3.92E-02	2575.50
NM_001615	7.78	3.47E-01	38792.09
