Gene ID	Log2Ratio	p-value	Max RPKM
NM_153278	0.48	3.47E-01	0.72
NM_004790	0.53	3.47E-01	0.69
NM_153320	-1.01	6.63E-01	5.54
NM_080866	-2.18	3.36E-02	15.75
NM_005847	-4.66	1.76E-01	957.41
NM_152685	-2.97	5.00E-02	417.70
NM_203327	0.57	2.74E-01	5060.06
NM_005116	1.29	9.94E-02	27289.57
NM_001144890	-2.30	4.59E-04	1898.42
NM_001144889	-1.99	1.22E-03	1980.12
NM_144712	0.47	5.01E-01	146.07
NM_004727	-0.77	2.34E-02	5256.43
NM_020344	-3.20	2.18E-01	10.07
NM_020689	-1.35	2.78E-01	37063.22
NM_153647	7.15	1.72E-01	50.25
NM_153648	7.50	1.38E-01	61.85
NM_153646	7.60	1.53E-01	72.61
NM_205850	-0.87	9.27E-02	931.72
NM_005984	-0.89	6.98E-02	4772.54
NM_012140	-0.46	3.75E-01	22909.05
NM_003562	0.12	6.10E-01	26574.12
NM_003705	0.92	7.78E-02	13324.95
NM_001160210	0.09	8.85E-01	13765.58
NR_027662	0.19	3.24E-01	351.79
NM_014251	0.40	4.56E-01	10204.06
NM_003951	-1.50	2.33E-02	1184.21
NM_022810	-1.00	2.74E-01	919.69
NM_014252	0.53	3.23E-01	32386.48
NM_152707	-0.74	1.49E-01	6005.62
NM_006358	-0.08	7.87E-01	14217.87
NM_031481	-6.05	2.39E-01	5543.44
NM_001126121	0.21	5.07E-01	1795.44
NM_021734	0.69	3.54E-01	2922.64
NM_001126122	0.71	5.22E-01	1251.09
NM_031947	-0.17	8.63E-01	44.65
NM_000387	-0.65	4.35E-01	8264.64
NM_030631	-0.74	2.51E-01	660.69
NM_024698	1.89	4.73E-02	13981.23
NM_024103	-0.26	6.90E-01	34558.67
NM_013386	0.28	4.64E-01	61553.08
NM_213651	0.41	4.07E-01	1130.47
NM_001006641	-1.23	2.05E-01	9466.55
NM_001006642	-0.61	6.03E-01	2703.03
NM_052901	0.64	3.79E-01	4172.96
NM_001006643	0.70	3.41E-01	7174.42
NM_173471	0.39	5.12E-01	7918.18
NM_004277	-1.35	3.55E-01	189.84
NM_031212	0.42	4.62E-01	12974.27
NM_001039355	-1.17	1.58E-01	5030.49
NM_213611	0.04	9.58E-01	64289.48
NM_005888	0.04	9.47E-01	3474.91
NM_002635	0.58	5.07E-01	81553.79
NM_001010875	-0.20	5.48E-01	12796.53
NM_031291	2.98	1.69E-01	7.91
NM_030780	1.22	1.70E-02	29815.27
NM_032315	0.58	3.67E-01	4762.37
NM_207348	-0.40	3.32E-01	854.83
NM_201520	0.49	3.28E-01	4958.82
NM_001104647	-0.53	8.66E-02	8835.57
NM_018155	-0.20	4.47E-01	30292.22
NM_016612	2.75	1.77E-02	2708.93
NM_017875	-0.26	4.09E-01	25662.39
NM_001143780	-1.29	1.21E-02	42037.45
NM_016016	0.40	6.28E-02	662.03
NM_001151	0.18	7.48E-01	16935.97
NM_018843	-0.50	4.02E-02	4878.41
NM_173637	-0.31	6.60E-01	35.69
NM_178526	-0.69	3.89E-01	9525.08
NM_145305	-0.46	5.86E-01	26310.52
NM_001135672	-0.44	3.70E-01	626.33
NM_014655	-0.16	7.24E-01	38596.44
NM_182556	-1.47	4.45E-02	651.84
NM_001077241	-1.45	1.12E-01	857.49
NM_138773	0.90	1.18E-02	26594.18
NM_207117	-3.97	2.07E-02	15.66
NM_145282	-7.08	2.96E-01	225.56
NM_001152	0.21	7.15E-01	289440.67
NM_033412	0.30	5.19E-01	3821.05
NR_024873	0.36	4.57E-01	3970.50
NR_024872	0.79	1.89E-01	2869.39
NR_026540	0.21	4.82E-01	109.24
NM_001034172	0.32	5.18E-01	424.58
NM_001012755	0.90	3.33E-01	704.42
NM_001636	-0.22	7.08E-01	421.80
NM_001636	-0.03	9.46E-01	38.63
NM_213613	-3.34	7.85E-03	6494.02
NM_022042	-2.71	1.55E-02	4886.62
NM_134425	-0.55	5.50E-01	117.78
NM_133489	0.12	8.85E-01	1347.12
NM_173626	-1.33	1.07E-04	5050.71
NM_000112	1.11	1.48E-01	56612.05
NM_000111	-5.30	1.47E-01	206.43
NM_000441	2.43	8.36E-02	94.76
NR_028137	-0.62	7.15E-01	15.60
NM_198999	-3.77	1.29E-01	13.65
NM_206883	-0.36	7.70E-01	4.61
NM_206885	-0.23	8.29E-01	3.24
NM_206884	0.06	9.59E-01	6.05
NM_022911	-2.69	5.83E-02	1614.94
NM_134263	-1.62	1.67E-01	1608.56
NM_134426	-0.23	7.25E-01	333.19
NM_001040454	0.40	4.26E-01	7538.46
NM_052832	-1.50	2.36E-01	256.24
NM_134266	0.09	9.40E-01	11.05
NM_052961	-6.42	4.20E-02	85.66
NM_138718	-5.84	5.70E-02	57.25
NM_052934	0.46	6.52E-01	2.75
NM_001142600	0.46	6.36E-01	2.68
NM_134325	0.68	5.30E-01	2.64
NM_198580	-0.60	4.87E-01	14948.00
NM_003645	-2.95	2.73E-01	4860.28
NM_001159629	-2.25	1.57E-01	207.37
NM_024330	-2.17	1.23E-01	7126.00
NM_005094	0.12	7.49E-01	32720.12
NM_012254	0.99	1.75E-01	3723.94
NM_001017372	-6.52	1.42E-01	740.14
NM_014031	-5.14	2.66E-01	389.16
NM_004213	-2.03	1.26E-01	96.89
NM_201651	-0.68	7.58E-01	1.74
NM_004212	-3.08	1.21E-01	233.47
NM_022127	2.74	2.35E-01	35.16
NM_004955	-1.67	1.27E-01	21929.70
NM_001078175	-1.57	1.08E-01	8470.25
NM_001078177	0.05	9.67E-01	4910.11
NM_001078174	0.69	5.03E-01	8111.65
NM_001078176	0.80	4.99E-01	21504.60
NM_001532	-3.19	1.47E-03	15820.02
NM_018344	-1.00	1.23E-01	1875.06
NM_153247	-1.19	5.02E-02	2557.03
NM_001040661	-0.46	5.56E-01	2321.09
NM_006516	0.19	7.62E-01	128512.08
NM_030777	-3.16	1.12E-01	100502.90
NM_001024938	-1.13	3.22E-02	241.45
NM_030807	-0.98	1.42E-02	192.77
NM_001024939	-0.85	1.07E-01	363.85
NM_145176	0.95	2.40E-01	2654.39
NM_052885	-1.77	4.90E-02	16676.79
NM_153449	-0.91	5.94E-01	23.38
NM_000340	0.04	9.85E-01	0.86
NM_006931	4.75	4.66E-02	24141.88
NM_001042	0.06	9.41E-01	608.67
NM_020062	-0.68	2.44E-01	41004.69
NM_001135585	-0.18	9.22E-01	175.14
NM_003039	0.48	7.31E-01	70.45
NR_024180	4.38	3.19E-01	520.04
NM_017585	1.79	1.19E-01	9949.53
NM_001145099	2.88	3.06E-02	3543.77
NM_207420	2.57	1.41E-01	5.94
NM_014580	-1.21	3.27E-02	10455.26
NM_001001290	1.80	3.68E-01	35.55
NM_020041	7.66	3.46E-01	2042.43
NM_021194	0.66	1.88E-01	25584.36
NM_018713	-0.82	1.42E-01	1.77
NM_001004434	-1.32	3.39E-01	185.59
NM_032513	-0.33	8.29E-01	48.35
NM_003459	-0.88	4.02E-01	1172.62
NM_013309	1.17	1.42E-01	2765.47
NM_022902	0.35	2.74E-01	36965.08
NM_024055	1.08	8.76E-02	4230.05
NM_017964	0.32	5.49E-01	3336.95
NM_133496	0.52	1.69E-01	29653.09
NM_001144884	1.11	6.84E-02	12213.94
NM_173851	-1.36	1.09E-01	37.09
NM_006345	-0.33	3.37E-01	47038.95
NM_001859	-0.21	5.86E-01	87140.58
NM_001860	-1.03	2.22E-01	10138.51
NM_080552	-2.82	3.47E-01	7.06
NM_004733	-0.41	2.83E-01	31815.58
NM_003052	-3.59	2.74E-02	33.11
NM_006424	-1.55	1.24E-01	39.53
NM_080877	-1.79	7.05E-02	491.40
NM_006416	-0.95	3.97E-01	8149.85
NM_001042498	-2.01	1.86E-02	27951.57
NM_001032289	-1.11	2.70E-01	13203.20
NM_005660	1.32	9.30E-02	5824.78
NM_012243	-0.79	1.43E-01	7384.18
NM_080670	0.40	3.70E-01	96149.71
NM_017945	0.59	5.23E-02	24076.84
NM_005827	-0.90	1.43E-02	24142.67
NM_178148	0.29	2.40E-01	82157.51
NM_015948	0.44	5.08E-01	1818.37
NM_001142540	0.76	2.77E-01	3302.80
NM_001142541	0.82	1.07E-01	4861.46
NM_032826	2.20	3.99E-02	24025.21
NM_001145266	-1.01	3.23E-01	407.40
NM_018389	-0.13	7.48E-01	26314.39
NM_001145265	0.55	4.50E-01	936.39
NM_173073	-1.52	1.18E-01	1787.62
NM_015945	-0.50	4.23E-01	5214.44
NM_173179	-0.35	3.84E-01	22821.53
NM_015139	0.41	2.38E-01	24618.25
NM_007001	-1.06	1.34E-01	2671.41
NM_001008783	0.83	4.12E-01	24.17
NM_024881	0.15	5.60E-01	95518.16
NM_182838	-1.61	9.70E-03	4361.16
NM_001110781	-1.06	9.76E-02	9828.40
NM_018656	-1.32	4.53E-02	16712.72
NM_001001479	2.04	3.28E-02	7212.61
NM_001029858	-0.06	9.69E-01	296.46
NM_017515	0.70	3.83E-01	25526.05
NM_173508	1.46	4.40E-01	1730.73
NM_001080455	2.50	1.84E-01	8.53
NM_025181	-0.59	1.02E-01	21532.81
NM_017877	-0.14	6.75E-01	40621.41
NM_001134658	0.93	1.91E-01	2999.08
NM_153226	1.54	1.67E-01	5994.28
NM_025246	2.80	5.37E-02	3535.66
NM_001097600	3.27	8.92E-02	2490.25
NM_001097599	3.43	1.42E-01	2048.09
NM_152462	0.03	9.70E-01	23.39
NM_054028	1.72	1.65E-01	27.39
NM_001102614	-0.60	5.25E-01	41.14
NM_078483	-0.12	7.54E-01	22229.30
NM_181776	-0.91	6.80E-02	43.42
NM_001145017	1.39	3.06E-01	7.55
NM_181774	2.91	6.14E-02	7.54
NM_152313	1.75	4.05E-02	15167.13
NM_018964	-3.85	3.26E-02	5002.20
NM_198277	-0.68	1.61E-01	825.43
NM_001145290	4.18	1.50E-01	14002.90
NM_207113	0.55	2.75E-01	5855.78
NM_032295	0.74	2.00E-01	6671.26
NM_001164279	-1.94	2.35E-01	1224.90
NM_001467	-0.29	7.30E-01	13791.42
NM_001164277	-0.21	7.40E-01	15353.18
NM_001164278	0.52	1.46E-01	243.61
NM_001077484	-0.92	6.14E-02	113217.83
NM_030674	0.16	7.32E-01	90667.17
NM_001037984	-0.65	1.38E-01	49232.67
NM_138570	-0.55	3.96E-01	16756.79
NM_173512	0.27	8.84E-01	8.66
NM_018976	1.01	3.02E-02	386431.25
NM_006841	-5.81	6.40E-02	905.63
NM_018018	4.48	1.94E-01	371.42
NM_001143824	7.16	1.94E-01	1647.01
NM_033518	-0.11	9.54E-01	533.65
NM_153811	0.90	3.45E-01	279.67
NM_018231	-0.04	9.25E-01	7225.81
NM_001080442	-4.17	1.43E-01	17.99
NM_173514	-0.04	9.45E-01	4654.06
NM_014437	-1.85	4.55E-04	6668.99
NM_001127257	-0.24	7.76E-01	3815.44
NM_020342	0.90	6.71E-02	45102.81
NM_139177	-4.08	8.98E-02	52465.24
NM_001159770	-3.24	2.09E-02	48704.55
NM_001145195	-0.87	3.47E-01	0.55
NM_152725	-0.79	3.47E-01	0.58
NM_152264	-0.04	9.49E-01	1718.15
NM_001128225	1.11	2.18E-01	1638.38
NM_015359	-0.96	3.45E-01	3176.47
NM_001135154	0.13	7.86E-01	67.49
NM_001135153	2.69	8.35E-02	13775.91
NM_001128431	3.82	1.80E-02	361063.50
NM_014579	-3.32	1.20E-01	146.67
NM_144564	0.58	1.96E-02	4846.08
NM_213568	1.04	5.12E-02	6817.39
NM_017767	-2.71	6.40E-02	566.01
NM_130849	-2.03	1.19E-01	230.79
NM_001135195	-2.40	5.86E-02	430.60
NM_173596	-2.31	4.73E-02	431.18
NM_012319	-2.68	2.66E-01	566847.66
NM_001099406	-0.41	7.61E-01	1554.48
NM_006979	0.68	1.93E-01	131679.54
NM_001077516	2.01	3.82E-01	21655.72
NM_001135146	0.81	3.65E-01	21801.72
NM_022154	0.91	3.10E-01	10808.99
NM_001135148	1.01	1.59E-01	11650.94
NM_001135147	1.67	1.07E-01	1238.13
NM_018375	-0.49	2.32E-01	123613.67
NM_000341	3.32	1.98E-01	1201.86
NM_001012662	-0.81	2.57E-01	8693.50
NM_001013251	-0.43	5.17E-01	217988.33
NM_002394	-0.33	8.15E-01	15596.67
NM_001012663	-0.14	8.47E-01	18842.80
NM_001012664	0.03	9.43E-01	6628.05
NM_001012661	0.69	3.99E-01	7958.56
NM_014585	-9.92	7.58E-02	159807.20
NM_173854	0.98	1.57E-02	39775.02
NM_032148	-0.16	7.90E-01	10539.24
NM_001008485	-0.24	3.73E-01	1690.07
NM_017836	-0.06	8.78E-01	12891.66
NM_001008486	0.09	8.36E-01	2228.19
NM_001008487	1.38	4.55E-01	910.08
NM_003627	0.12	8.94E-01	2429.68
NM_152346	-0.71	5.06E-01	12672.00
NM_017611	3.91	8.81E-02	1329.44
NM_199329	5.96	2.64E-01	8889.07
NM_014096	6.27	1.30E-01	6330.67
NM_080546	-1.35	1.54E-01	137028.27
NM_020428	-2.67	3.32E-03	106947.63
NM_001145056	1.81	2.93E-02	28124.44
NM_001114106	-3.43	2.48E-02	1273.25
NM_152369	-2.81	4.82E-02	340.02
NM_025257	-8.54	3.24E-01	15230.61
NM_001130058	-3.66	4.89E-02	456.13
NM_152697	-1.31	4.06E-01	812.26
NM_001080397	5.34	3.67E-02	1446.93
NM_016180	0.55	6.44E-01	6.18
NM_001012509	2.52	8.12E-02	22.96
NM_033102	0.80	4.65E-01	5420.28
NM_001080431	0.09	6.94E-01	137.78
NM_080669	-1.24	2.01E-01	16907.31
NM_033051	-1.51	2.21E-01	296.38
NM_181785	-1.80	1.13E-01	18244.77
NM_001135919	-0.43	5.21E-01	868.68
NM_018242	-2.05	4.27E-01	2248.77
NM_152908	-1.40	3.48E-01	14.69
NM_001099646	-0.89	4.43E-01	6.27
NM_017842	-1.96	1.15E-01	30931.63
NM_000342	-1.34	4.94E-03	423.27
NM_022058	-10.12	2.26E-01	13269.88
NM_032034	0.98	3.91E-01	2168.23
NM_018158	0.62	4.58E-01	10696.72
NM_003040	-0.12	7.89E-01	93052.49
NM_005070	0.27	6.93E-01	3874.27
NM_201574	0.43	5.71E-01	2067.50
NM_001098484	7.19	1.69E-01	775.50
NM_001134742	9.17	2.94E-01	2304.76
NM_003759	9.36	2.63E-01	2104.36
NM_133478	-1.36	8.67E-03	15434.24
NM_021196	5.25	3.47E-01	38.01
NM_003615	2.31	2.07E-01	5905.54
NM_004858	-2.28	2.66E-01	1491.95
NM_001039960	-1.21	4.71E-01	1051.04
NM_031467	-1.66	4.64E-01	9.68
NM_018845	-2.26	4.60E-02	31269.25
NM_001122839	-1.15	1.95E-01	3009.83
NM_001122837	0.06	9.17E-01	5084.62
NM_152672	-1.50	3.11E-02	32.29
NM_178859	-3.79	3.28E-01	22.34
NM_001104577	-4.06	1.99E-01	517.16
NM_017986	-3.68	2.11E-01	405.00
NM_024531	0.37	7.18E-01	911.09
NM_033409	-8.45	3.92E-02	10867.18
NM_000343	-4.35	1.84E-01	25.16
NM_152351	-0.14	9.19E-01	586.67
NM_001042450	0.14	8.14E-01	875.06
NM_052944	-5.19	2.89E-01	85.42
NM_178498	-9.18	2.36E-04	681.03
NM_003041	-0.30	8.45E-01	156.62
NM_006933	1.15	8.57E-03	96469.99
NM_014227	1.01	5.76E-01	35.44
NM_000453	-1.75	1.31E-01	936.32
NM_021095	-0.92	2.02E-01	69618.41
NM_021815	-3.22	2.72E-01	9.32
NM_145913	-8.20	2.39E-01	4435.85
NM_001135181	-8.67	3.48E-01	385.83
NM_001011547	-6.53	3.52E-01	91.05
NM_003042	1.83	2.45E-01	39.34
NR_003083	-3.51	1.70E-01	1622.50
NM_014229	-3.99	7.27E-02	605.92
NM_001122848	-5.64	3.12E-01	577.73
NM_003044	-4.02	1.06E-01	75.07
NM_001122847	-3.93	2.40E-01	165.09
NM_016615	2.92	2.79E-01	7.58
NM_007231	-8.50	2.84E-01	33708.68
NM_001146335	0.83	5.70E-01	368.35
NM_018057	3.30	1.91E-01	3184.70
NM_182767	4.00	2.24E-01	9615.95
NM_014037	-0.76	3.81E-01	178.12
NM_001010898	-1.57	2.70E-01	8291.15
NM_182632	-1.60	3.47E-01	3.03
NM_001003841	-1.58	3.98E-01	8.32
NM_001043	0.57	7.45E-01	1.34
NM_022405	-2.89	1.93E-01	387.95
NM_020208	-2.37	1.51E-02	384.57
NM_001044	-2.95	8.71E-02	88.43
NM_001045	-4.30	9.18E-02	79.46
NM_001134367	0.37	5.86E-01	20849.43
NM_003043	1.27	1.08E-01	53619.73
NM_001134368	1.31	9.69E-03	1156.60
NM_014228	-2.74	1.43E-01	53.51
NM_001142806	0.14	8.35E-01	4814.22
NM_001142805	1.03	2.57E-01	4064.75
NM_005629	1.41	1.15E-01	65687.10
NM_006934	-3.62	1.20E-02	4954.36
NM_201649	0.07	9.20E-01	742.89
NM_001024845	0.98	3.00E-01	17648.35
NM_003045	0.81	1.09E-01	229577.88
NM_019849	0.31	8.59E-01	79.79
NM_014331	2.29	6.89E-02	132132.97
NM_138817	-4.38	3.55E-04	20.83
NM_020949	-0.36	5.31E-01	147.30
NM_003046	-0.62	5.69E-01	1590.71
NM_001008539	0.05	9.43E-01	885.02
NM_001048164	2.28	2.06E-01	5.96
NM_032803	2.86	2.46E-01	9.00
NM_004173	-0.02	9.93E-01	4.17
NM_003486	-0.58	4.68E-01	868117.00
NR_002593	1.85	5.06E-01	18.25
NR_002594	-1.24	1.10E-01	1809.75
NM_003983	-0.25	6.99E-01	9468.96
NM_001076785	-0.05	9.30E-01	53888.52
NM_032178	-0.01	9.86E-01	6509.47
NM_001126105	1.96	3.44E-01	192.64
NM_001126106	6.64	3.42E-01	844.01
NM_003982	8.37	3.42E-01	573.48
NM_012244	-9.25	6.76E-02	58450.49
NM_182728	-7.67	3.03E-02	5828.82
NM_001126335	-1.50	4.09E-02	54.15
NM_014270	-0.67	4.16E-01	55.15
NM_001112802	0.23	8.67E-01	1027.93
NM_001112801	1.82	1.66E-01	1057.67
NM_001112800	4.60	1.06E-02	5466.35
NM_021097	4.88	1.30E-02	5504.86
NM_015063	-4.46	2.26E-01	318.09
NM_182936	-1.64	3.47E-01	0.32
NM_001130417	-1.63	3.47E-01	0.32
NM_183002	-1.55	3.47E-01	0.34
NM_058240	-1.55	3.47E-01	0.34
NM_033262	-1.47	3.47E-01	0.36
NM_182932	-1.46	3.47E-01	0.36
NM_024959	0.89	4.26E-01	7697.22
NM_003047	-0.36	5.74E-01	38887.60
NM_003048	-4.03	4.03E-03	35513.22
NM_004174	-0.03	9.53E-01	2218.27
NM_004252	-5.15	2.14E-03	303536.62
NM_001130012	-2.63	1.38E-02	49086.49
NM_004785	-0.97	1.75E-01	4242.72
NM_001011552	-1.31	1.66E-02	4031.03
NM_004594	-0.64	3.42E-01	784.37
NM_006359	1.10	8.12E-02	1607.95
NM_001042537	1.80	2.33E-02	24124.73
NM_032591	-1.17	1.57E-01	7844.23
NM_015266	-0.72	1.77E-01	11208.66
NM_173653	3.67	1.47E-01	849.09
NM_001100874	-0.33	6.86E-01	374.10
NM_139173	-0.26	7.12E-01	503.74
NM_178833	2.20	8.71E-02	7571.44
NM_183061	-1.03	3.82E-01	16.27
NM_178527	-2.13	1.48E-01	4.36
NM_021094	-4.31	8.22E-02	70.33
NM_134431	-0.80	5.67E-01	348.07
NM_006446	-4.28	2.04E-01	225.51
NM_019844	6.82	2.99E-01	1017.00
NM_001009562	6.68	1.47E-01	121.38
NM_017435	-1.31	3.47E-01	0.40
NM_001145945	-1.30	3.47E-01	0.41
NM_001145946	0.24	1.69E-01	1.18
NM_001145944	0.27	1.72E-01	1.20
NM_005630	3.21	2.18E-01	2350.50
NM_007256	-1.10	4.94E-01	3.92
NM_001145211	-1.08	4.59E-01	7.86
NM_001145212	-0.14	9.14E-01	4.65
NM_013272	1.68	2.03E-01	11339.72
NM_001145044	2.44	2.98E-01	3522.87
NM_016354	0.96	4.08E-01	11526.83
NM_180991	-2.14	8.25E-02	1966.39
NM_001146009	2.13	1.76E-01	72.58
NM_001146008	2.69	6.71E-02	121.95
NM_030958	3.49	1.07E-01	321.71
NM_173488	1.63	2.22E-01	3.09
NR_003542	-3.32	3.42E-01	22.24
NM_001104590	0.03	9.80E-01	566.22
NM_001104589	0.31	8.38E-01	4655.03
NM_152270	0.58	6.77E-01	1685.34
NM_001104587	0.75	6.17E-01	5126.47
NM_001104588	0.90	5.64E-01	4849.18
NM_018042	2.63	2.94E-02	4388.14
NM_001145027	-0.10	9.35E-01	178.35
NM_144682	-3.55	1.38E-01	3542.55
NM_001129820	-10.52	3.46E-01	3048.44
NM_144975	0.09	9.24E-01	12988.62
NM_144990	0.62	2.16E-01	146.33
NM_031210	0.95	8.76E-02	11888.03
NM_003061	-4.50	2.97E-01	1773.24
NM_004787	2.05	3.74E-02	774.47
NM_003062	5.76	6.61E-02	3539.13
NM_052910	-4.14	2.95E-01	1648.81
NM_001144006	7.71	9.15E-02	341.52
NM_001144004	7.72	1.35E-01	346.35
NM_001144010	8.00	1.05E-01	408.05
NM_001144008	8.69	2.32E-01	675.36
NM_001144005	9.12	2.66E-01	882.68
NM_001144003	9.19	2.75E-01	946.75
NM_001144009	9.49	3.41E-01	1209.92
NM_032539	10.74	3.31E-01	777.27
NM_014926	2.98	3.09E-02	18.04
NM_173078	-1.44	2.31E-01	4242.47
NM_015567	0.74	5.38E-01	10174.17
NM_032229	-4.18	1.80E-01	5819.39
NM_014720	-6.41	2.97E-03	37550.69
NM_007159	0.66	3.01E-01	1597.48
NM_006553	1.51	1.04E-01	1025.11
NM_001142405	3.23	1.39E-01	4205.86
NM_016045	-0.30	4.57E-01	71827.21
NM_003063	1.13	4.31E-01	18.31
NM_003064	-4.27	9.15E-02	1803.02
NM_024755	-0.29	3.97E-01	37252.48
NM_001013843	-0.04	9.36E-01	1310.06
NM_006425	0.00	9.99E-01	20875.73
NM_020427	-7.72	4.50E-02	211.16
NM_024044	1.16	6.28E-01	0.76
NM_024044	1.53	5.54E-01	303.62
NM_178044	3.37	3.95E-01	524.07
NM_032444	-0.50	2.17E-01	17026.42
NM_001009608	-0.96	1.06E-01	2537.27
NR_024054	-1.35	3.76E-01	101.19
NM_001003688	-0.49	5.88E-01	6133.27
NM_005900	0.19	7.45E-01	9924.22
NM_001003652	-1.36	4.88E-02	12360.53
NM_001135937	-0.31	3.20E-01	186.73
NM_005901	0.61	3.63E-02	42042.66
NM_001145103	0.70	4.22E-02	512.00
NM_001145104	0.90	6.56E-02	431.61
NM_001145102	1.05	2.80E-01	11892.26
NM_005902	1.43	5.15E-02	96736.74
NM_005359	0.70	2.28E-02	51868.93
NM_001001420	0.10	8.88E-01	2843.89
NM_005903	0.22	6.64E-01	26281.38
NM_001001419	0.49	1.13E-01	48801.18
NR_026763	1.24	1.07E-01	143.05
NR_027654	1.06	4.10E-01	683.64
NM_005585	1.10	2.51E-01	7724.37
NM_001142861	1.37	1.69E-01	1068.31
NM_005904	1.10	1.67E-01	8545.27
NM_005905	2.76	2.89E-02	933.33
NM_001127217	3.27	3.08E-02	1113.88
NM_001033873	-0.69	9.86E-02	2873.91
NM_001031628	0.36	5.62E-01	6045.88
NM_021940	-0.09	8.33E-01	20071.11
NM_001044305	0.41	2.76E-01	5465.11
NM_022733	0.08	8.92E-01	15413.73
NM_003069	0.90	8.68E-02	767.54
NM_139035	1.47	2.62E-01	15037.62
NM_139045	-1.04	3.67E-01	13902.30
NM_003070	-1.03	2.76E-01	8290.77
NM_001128848	-0.73	3.07E-01	7756.25
NM_001128845	-0.66	2.90E-01	20909.06
NM_001128849	-0.49	4.39E-01	4408.71
NM_001128847	-0.24	6.96E-01	6021.59
NM_001128846	0.06	9.10E-01	50910.89
NM_001128844	1.31	7.02E-02	14712.10
NM_003072	1.90	5.50E-02	17631.39
NM_003601	0.29	1.48E-01	47472.63
NM_001128430	0.00	9.90E-01	10869.75
NM_001128429	0.40	3.80E-01	7155.90
NM_020159	0.96	1.91E-01	12327.32
NM_001127207	0.19	4.29E-01	874.24
NM_014140	0.44	4.80E-01	7360.10
NM_003073	-0.05	9.36E-01	11007.67
NM_001007468	0.08	9.08E-01	1308.44
NM_003074	0.19	4.24E-01	69762.57
NM_003075	-1.47	2.10E-03	62587.52
NM_139067	-0.90	1.05E-01	11035.22
NM_001130420	-0.02	9.73E-01	8325.97
NM_003076	-0.64	9.06E-02	30430.89
NM_139071	0.37	3.88E-01	9908.51
NM_001098426	-1.91	9.52E-03	49653.09
NM_003077	-1.62	2.53E-01	17200.44
NM_001003802	0.31	7.03E-01	1476.51
NM_003078	1.07	2.33E-01	2380.10
NM_001003801	1.97	4.38E-02	2140.56
NM_003079	-0.57	4.93E-01	16853.57
NM_006306	-1.02	3.65E-01	8943.69
NM_148674	0.71	3.90E-01	70.18
NM_006444	0.63	3.51E-02	2220.44
NM_001042550	0.73	2.29E-01	14932.99
NM_001042551	0.76	2.81E-01	37725.22
NM_005445	0.61	3.44E-01	51516.63
NM_005496	0.29	5.37E-01	28939.70
NM_001002800	0.54	4.96E-01	40651.13
NM_015110	0.37	4.70E-02	23345.46
NM_024624	0.83	1.37E-01	17162.12
NM_001142286	0.89	3.11E-01	8402.58
NM_015295	0.70	4.17E-02	45645.72
NM_001145010	3.30	6.98E-02	92.27
NM_001013698	-0.39	7.96E-01	332.38
NM_020179	0.14	7.89E-01	2350.97
NR_024007	-2.36	1.70E-01	166.86
NM_144775	-0.50	3.38E-01	82851.83
NM_033318	-0.83	1.57E-02	10791.03
NM_032560	0.47	4.36E-01	10360.88
NM_001122964	-0.55	1.84E-01	25204.31
NM_020463	-0.37	4.57E-01	13861.54
NR_002784	0.54	7.67E-01	41.60
NM_015092	-0.65	1.61E-01	75722.71
NR_027154	-0.88	6.36E-02	14360.69
NM_015327	-0.38	7.16E-02	86589.95
NM_017575	0.19	4.29E-01	13338.86
NM_201569	-1.40	2.86E-03	57786.01
NM_173156	-0.56	2.21E-01	24006.44
NM_201568	-0.21	7.42E-01	15540.27
NM_018149	-0.97	3.20E-02	45890.39
NM_019108	0.50	2.21E-01	15423.76
NM_001163724	-4.93	2.66E-04	1070.91
NM_001163438	4.18	1.89E-01	5844.61
NM_058182	0.21	6.26E-01	4136.33
NM_138428	0.66	1.06E-01	29786.59
NM_001135575	0.64	2.37E-01	30053.87
NM_174921	-2.70	7.86E-03	63421.94
NM_001048249	0.60	9.95E-02	71573.10
NM_001135674	-1.28	1.29E-01	6921.92
NM_001135675	-0.86	4.04E-01	1831.89
NM_001135676	-0.64	1.39E-01	134.64
NM_138436	-0.42	5.97E-01	6135.55
NM_001145432	-0.11	7.51E-01	6004.41
NM_001037331	3.28	3.47E-01	9.69
NM_032947	1.18	1.94E-01	15697.01
NM_001124767	0.56	4.85E-02	3582.35
NM_001162995	-5.46	3.46E-02	1523.29
NM_001162997	-1.76	1.46E-01	72.58
NM_024104	-0.06	8.58E-01	15876.24
NM_001042493	0.03	9.41E-01	3251.41
NM_020425	0.55	4.14E-01	129.94
NR_015397	2.49	4.01E-02	5.64
NM_022875	-1.02	1.28E-01	558.06
NM_022877	-0.26	6.68E-01	753.10
NM_022875	0.28	5.73E-01	4420.81
NM_017411	0.81	1.06E-01	3356.83
NM_022876	0.96	3.96E-01	305.15
NM_017411	1.09	2.06E-01	3458.96
NM_022876	1.27	1.28E-01	1107.76
NM_022877	1.38	2.55E-01	247.00
NM_005871	0.46	1.57E-01	20075.35
NM_005631	-0.75	5.83E-01	6447.77
NM_022137	3.71	2.17E-01	4739.50
NM_001034852	3.81	2.50E-01	3826.44
NM_022138	-8.25	9.85E-02	3355.55
NM_175841	1.05	3.69E-01	126.39
NM_175839	1.39	4.57E-01	4253.49
NM_175840	1.83	1.29E-02	2028.74
